event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
7,2080,292,48,0,2031,420,2060,464
7,2081,161,64,0,2031,403,2060,445
7,2081,168,-32,16,2031,406,2060,453
7,2081,176,48,0,2031,420,2060,464
8,2080,147,64,-16,2031,217,2060,181
8,2080,163,-16,-16,2030,297,2060,196
8,2080,165,48,0,2030,301,2060,199
8,2080,167,64,0,2031,238,2060,200
8,2081,369,64,-16,2031,217,2060,181
8,2081,383,-16,-32,2030,297,2060,196
8,2081,385,32,0,2031,235,2060,199
8,2081,386,64,0,2031,238,2060,200
9,2080,190,64,-16,2030,508,2060,271
9,2080,191,32,32,2031,311,2060,272
9,2080,192,64,0,2030,511,2060,274
9,2080,194,80,16,2031,320,2060,278
9,2080,213,64,16,2030,544,2060,306
9,2081,102,64,-16,2030,508,2060,271
9,2081,103,64,0,2030,511,2060,274
9,2081,106,80,0,2031,320,2060,278
9,2081,123,64,-16,2030,544,2060,306
10,2080,463,-16,-80,2031,422,2060,386
10,2080,475,80,16,2030,141,2060,393
10,2081,303,-16,-96,2031,422,2060,386
10,2081,316,80,16,2030,141,2060,393
11,2080,442,96,48,2031,557,2060,507
11,2080,446,16,-16,2030,599,2060,510
11,2080,458,-128,-48,2030,610,2060,525
11,2080,461,0,-16,2030,611,2061,343
11,2080,480,-16,0,2030,624,2060,552
11,2080,482,-80,-80,2031,594,2060,553
11,2081,126,96,64,2031,557,2060,507
11,2081,141,-128,-48,2030,610,2060,525
11,2081,144,0,-16,2030,611,2061,343
11,2081,164,16,-32,2031,593,2060,552
11,2081,166,-80,-80,2031,594,2060,553
12,2080,158,64,0,2030,386,2060,251
12,2080,164,32,-48,2031,300,2060,263
12,2080,167,64,-16,2030,395,2060,265
12,2080,175,64,0,2031,311,2060,278
12,2080,181,64,0,2030,408,2061,353
12,2081,62,64,-16,2030,386,2060,251
12,2081,70,64,0,2030,395,2060,265
12,2081,78,64,-16,2031,311,2060,278
12,2081,84,64,0,2030,408,2061,353
13,2080,348,64,0,2030,40,2061,242
13,2080,363,16,-16,2031,79,2060,120
13,2080,364,-16,-16,2031,82,2060,123
13,2080,377,32,-16,2030,60,2060,133
13,2081,266,64,0,2030,40,2061,242
13,2081,282,48,0,2030,48,2060,120
13,2081,283,-16,-16,2031,82,2060,123
13,2081,294,32,-16,2030,60,2060,133
14,2080,231,48,16,2030,485,2061,143
14,2080,234,-16,-16,2031,356,2060,317
14,2080,244,48,0,2031,376,2060,333
14,2080,248,32,0,2030,507,2060,346
14,2081,460,48,0,2030,485,2061,143
14,2081,463,-16,-32,2031,356,2060,317
14,2081,474,48,-16,2031,376,2060,333
14,2081,478,32,0,2030,507,2060,346
15,2080,217,0,-16,2030,407,2060,262
15,2080,225,32,0,2031,315,2060,280
15,2080,235,64,-32,2030,430,2060,291
15,2081,378,0,-16,2030,407,2060,262
15,2081,386,32,-32,2031,315,2060,280
15,2081,396,64,-16,2030,430,2060,291
16,2080,340,32,0,2031,431,2060,390
16,2081,212,32,-48,2031,431,2060,390
17,2080,387,48,0,2030,166,2060,244
17,2080,389,48,-48,2030,168,2060,246
17,2080,391,64,0,2031,208,2060,250
17,2080,392,32,0,2031,211,2060,251
17,2080,393,32,-16,2030,174,2060,252
17,2080,398,48,0,2030,181,2060,258
17,2080,406,48,32,2031,229,2060,270
17,2080,410,64,0,2031,234,2060,273
17,2080,412,32,-16,2031,236,2060,274
17,2081,510,32,0,2031,202,2060,244
17,2081,512,48,-16,2030,168,2060,246
17,2081,514,64,-16,2031,208,2060,250
17,2081,515,32,-16,2031,211,2060,251
17,2081,516,32,-32,2030,174,2060,252
17,2081,521,48,16,2030,181,2060,258
17,2081,531,64,-16,2031,234,2060,273
17,2081,533,32,0,2031,236,2060,274
18,2080,347,48,0,2031,193,2061,54
18,2080,348,0,-48,2030,391,2060,159
18,2080,365,0,-48,2031,220,2060,175
18,2080,368,0,144,2031,227,2060,179
18,2080,371,32,16,2031,230,2061,78
18,2081,86,48,0,2031,193,2061,54
18,2081,87,0,-48,2030,391,2060,159
18,2081,104,0,-32,2031,220,2060,175
18,2081,107,0,144,2031,227,2060,179
18,2081,110,32,0,2031,230,2061,78
19,2080,264,32,16,2030,453,2060,534
19,2080,267,64,0,2030,457,2061,179
19,2080,275,0,-16,2030,461,2060,546
19,2080,281,48,-32,2030,464,2060,551
19,2080,285,0,-64,2031,514,2060,558
19,2081,99,48,0,2031,493,2060,534
19,2081,102,64,0,2030,457,2061,179
19,2081,110,32,0,2031,506,2060,546
19,2081,116,48,-32,2030,464,2060,551
19,2081,119,0,-96,2031,514,2060,558
20,2080,376,96,80,2031,170,2060,213
20,2080,380,80,-16,2031,172,2060,216
20,2080,381,80,16,2030,131,2060,217
20,2080,386,16,-32,2031,180,2060,223
20,2080,392,16,-32,2030,150,2060,236
20,2080,396,32,-32,2030,155,2060,241
20,2081,294,96,48,2031,170,2060,213
20,2081,299,80,-16,2031,172,2060,216
20,2081,300,80,-16,2030,131,2060,217
20,2081,305,16,-32,2031,180,2060,223
20,2081,311,16,-16,2030,150,2060,236
20,2081,314,32,-48,2030,155,2060,241
21,2080,500,-16,-16,2030,170,2060,372
21,2080,505,-16,-96,2031,331,2060,378
21,2080,507,48,16,2031,336,2061,428
21,2080,514,-16,-48,2031,345,2060,392
21,2081,137,-16,-16,2030,170,2060,372
21,2081,141,-16,-96,2031,331,2060,378
21,2081,143,48,16,2031,336,2061,428
21,2081,150,-16,-48,2031,345,2060,392
22,2080,346,32,-32,2030,147,2060,555
22,2080,352,16,-16,2031,513,2060,562
22,2080,353,64,-16,2030,160,2060,563
22,2080,360,48,0,2031,526,2060,569
22,2080,362,32,-16,2031,529,2060,573
22,2080,376,16,-32,2030,180,2061,611
22,2080,377,48,16,2031,546,2060,583
22,2081,190,32,-16,2030,147,2060,555
22,2081,196,16,-48,2031,513,2060,562
22,2081,197,64,-16,2030,160,2060,563
22,2081,206,32,-48,2031,529,2060,573
22,2081,220,16,-64,2030,180,2061,611
23,2080,364,32,-32,2030,69,2060,152
23,2080,365,32,-32,2031,110,2061,191
23,2080,374,0,-16,2030,84,2060,164
23,2080,376,32,16,2030,85,2060,166
23,2080,379,16,0,2030,87,2060,168
23,2080,380,16,-16,2030,88,2060,170
23,2080,384,48,-32,2031,138,2060,180
23,2081,458,96,16,2031,107,2060,152
23,2081,459,32,-32,2031,110,2061,191
23,2081,468,48,0,2031,124,2060,164
23,2081,470,32,0,2030,85,2060,166
23,2081,473,16,-16,2030,87,2060,168
23,2081,474,16,-32,2030,88,2060,170
23,2081,478,48,-16,2031,138,2060,180
24,2080,268,32,0,2030,315,2061,111
24,2080,270,16,-32,2030,317,2060,483
24,2080,280,32,-16,2031,448,2060,495
24,2080,282,48,0,2031,450,2060,498
24,2080,287,96,0,2030,338,2061,133
24,2080,290,32,-16,2031,467,2060,505
24,2080,296,16,-32,2031,473,2060,508
24,2080,297,64,0,2030,352,2060,514
24,2081,144,32,-32,2030,315,2061,111
24,2081,146,16,-16,2030,317,2060,483
24,2081,157,32,0,2031,448,2060,495
24,2081,160,48,-16,2031,450,2060,498
24,2081,166,96,0,2030,338,2061,133
24,2081,170,64,0,2030,343,2060,505
24,2081,175,16,-16,2031,473,2060,508
24,2081,177,64,0,2030,352,2060,514
25,2080,430,32,-48,2031,194,2060,240
25,2080,435,32,-16,2030,160,2061,526
25,2080,438,16,-48,2031,207,2060,246
25,2080,447,80,32,2030,173,2060,253
25,2080,448,-16,-16,2030,175,2060,257
25,2080,450,48,0,2030,177,2060,258
25,2080,451,48,16,2030,178,2060,259
25,2080,455,32,-16,2030,186,2060,269
25,2081,122,32,-32,2031,194,2060,240
25,2081,126,32,-16,2030,160,2061,526
25,2081,129,16,-48,2031,207,2060,246
25,2081,137,80,32,2030,173,2060,253
25,2081,138,-16,-32,2030,175,2060,257
25,2081,139,64,0,2031,221,2060,258
25,2081,140,48,16,2030,178,2060,259
25,2081,144,32,16,2031,233,2060,266
25,2081,146,32,-32,2030,186,2060,269
26,2080,326,16,-16,2030,434,2060,214
26,2080,336,0,-64,2031,184,2060,223
26,2080,346,0,-32,2031,194,2061,56
26,2080,359,16,-32,2030,462,2060,248
26,2080,362,16,-16,2030,465,2060,252
26,2081,141,16,-48,2030,434,2060,214
26,2081,149,0,-48,2031,184,2060,223
26,2081,159,0,-80,2031,194,2061,56
26,2081,171,16,-48,2030,462,2060,248
26,2081,173,16,-32,2030,465,2060,252
27,2080,300,64,0,2031,258,2060,220
27,2080,305,64,32,2031,264,2060,228
27,2080,309,0,-32,2030,524,2060,234
27,2080,331,0,16,2030,544,2061,215
27,2081,393,64,-16,2031,258,2060,220
27,2081,398,64,48,2031,264,2060,228
27,2081,402,0,-48,2030,524,2060,234
27,2081,421,0,0,2030,544,2061,215
28,2080,400,48,-32,2031,253,2060,293
28,2081,374,32,0,2030,185,2060,293
29,2080,246,64,-16,2031,434,2060,388
29,2080,250,64,0,2030,487,2060,390
29,2080,255,160,208,2030,493,2060,397
29,2081,353,64,-16,2031,434,2060,388
29,2081,357,64,16,2030,487,2060,390
29,2081,362,160,240,2030,493,2060,397
30,2080,327,-16,-16,2030,96,2060,158
30,2080,335,0,-32,2031,128,2060,164
30,2080,347,0,-48,2030,110,2060,178
30,2081,43,-16,-32,2030,96,2060,158
30,2081,52,0,-48,2031,128,2060,164
30,2081,65,0,-32,2030,110,2060,178
30,2081,68,64,-16,2030,119,2060,184
31,2080,268,64,0,2030,484,2060,199
31,2080,275,48,-16,2030,489,2060,202
31,2081,446,64,-16,2030,484,2060,199
31,2081,452,48,-16,2030,489,2060,202
32,2080,335,64,0,2030,365,2060,457
32,2080,347,64,16,2030,388,2060,476
32,2080,352,16,-32,2030,393,2060,479
32,2081,110,64,-16,2030,365,2060,457
32,2081,123,64,0,2030,388,2060,476
32,2081,128,16,-16,2030,393,2060,479
33,2080,276,48,64,2031,379,2060,418
33,2080,283,16,-16,2030,533,2060,432
33,2080,295,80,0,2031,396,2060,440
33,2080,302,32,-16,2031,407,2060,446
33,2080,303,32,0,2031,408,2060,448
33,2081,345,48,-16,2031,379,2060,418
33,2081,351,48,0,2031,382,2060,432
33,2081,363,80,-16,2031,396,2060,440
33,2081,370,32,-16,2031,407,2060,446
33,2081,371,32,16,2031,408,2060,448
34,2080,452,64,16,2030,106,2061,480
34,2080,467,16,-32,2031,223,2060,255
34,2080,473,96,16,2030,136,2060,264
34,2081,340,64,32,2030,106,2061,480
34,2081,356,16,-32,2031,223,2060,255
34,2081,360,96,16,2030,136,2060,264
35,2080,360,80,0,2030,514,2060,296
35,2080,364,64,0,2031,256,2060,304
35,2080,365,64,32,2030,526,2060,308
35,2080,372,32,0,2031,271,2060,314
35,2080,376,32,-32,2031,276,2060,318
35,2081,51,80,0,2030,514,2060,296
35,2081,55,80,0,2030,521,2060,304
35,2081,56,64,0,2030,526,2060,308
35,2081,64,32,0,2031,271,2060,314
35,2081,67,32,-32,2031,276,2060,318
36,2080,303,80,0,2030,491,2060,360
36,2080,311,-128,-112,2030,499,2060,371
36,2080,316,48,0,2030,504,2060,374
36,2080,321,16,-32,2031,427,2060,379
36,2080,324,48,0,2030,518,2060,386
36,2080,329,32,0,2030,521,2060,390
36,2081,48,80,0,2030,491,2060,360
36,2081,56,-128,-128,2030,499,2060,371
36,2081,61,48,-16,2030,504,2060,374
36,2081,66,16,-16,2031,427,2060,379
36,2081,69,48,-16,2030,518,2060,386
36,2081,75,0,-16,2031,436,2060,390
37,2080,455,64,0,2030,146,2060,279
37,2080,459,-128,0,2031,241,2060,282
37,2080,465,32,-32,2030,164,2060,291
37,2081,504,64,-32,2030,146,2060,279
37,2081,509,-128,-16,2031,241,2060,282
37,2081,514,32,-32,2030,164,2060,291
38,2080,433,48,0,2030,212,2060,331
38,2081,487,48,0,2030,212,2060,331
39,2080,166,48,-16,2031,303,2060,272
39,2081,353,48,-48,2031,303,2060,272
40,2080,306,80,0,2030,43,2060,229
40,2080,310,-160,-64,2031,193,2061,106
40,2080,315,64,32,2031,202,2060,244
40,2080,319,32,-64,2031,212,2060,253
40,2081,71,80,-16,2030,43,2060,229
40,2081,75,-160,-64,2031,193,2061,106
40,2081,80,64,32,2031,202,2060,244
40,2081,85,32,-80,2031,212,2060,253
41,2080,174,144,-32,2031,308,2060,271
41,2080,177,64,-16,2030,352,2061,60
41,2080,179,-96,160,2030,354,2060,275
41,2080,180,64,-16,2030,355,2060,276
41,2080,184,32,-64,2031,320,2060,284
41,2080,194,32,16,2031,325,2060,290
41,2081,387,144,-48,2031,308,2060,271
41,2081,390,64,-16,2030,352,2061,60
41,2081,392,-96,160,2030,354,2060,275
41,2081,396,32,-48,2031,320,2060,284
41,2081,406,32,0,2031,325,2060,290
42,2080,255,32,-32,2030,109,2060,337
42,2080,257,80,16,2031,368,2060,338
42,2080,262,32,-32,2031,371,2060,343
42,2080,272,32,0,2031,386,2061,420
42,2080,273,48,-32,2030,127,2061,421
42,2081,438,32,-48,2030,109,2060,337
42,2081,440,32,-16,2030,113,2060,338
42,2081,445,32,16,2031,371,2060,343
42,2081,454,48,-32,2030,127,2061,421
43,2080,424,48,-16,2030,101,2060,188
43,2080,429,64,-16,2030,111,2060,197
43,2080,432,48,16,2031,232,2060,200
43,2081,256,48,-16,2030,101,2060,188
43,2081,260,64,-16,2030,111,2060,197
43,2081,263,48,-16,2031,232,2060,200
44,2080,239,64,0,2030,490,2060,271
44,2080,251,144,208,2031,328,2060,284
44,2080,253,32,-32,2030,505,2060,287
44,2080,254,16,0,2031,331,2060,288
44,2081,454,64,0,2030,490,2060,271
44,2081,467,144,160,2031,328,2060,284
44,2081,468,32,-64,2030,505,2060,287
44,2081,469,16,0,2031,331,2060,288
45,2080,301,80,0,2031,99,2061,423
45,2080,309,16,0,2031,109,2060,66
45,2080,313,-48,-16,2031,113,2060,73
45,2081,161,80,-32,2031,99,2061,423
45,2081,170,32,-16,2030,227,2060,66
45,2081,174,-48,-16,2031,113,2060,73
46,2080,329,48,0,2031,158,2060,126
46,2080,333,64,0,2030,368,2060,129
46,2080,357,48,0,2030,401,2060,153
46,2081,60,48,0,2031,163,2060,129
46,2081,85,32,0,2031,201,2060,153
47,2080,134,64,32,2031,216,2060,190
47,2080,146,16,-32,2031,233,2060,202
47,2080,160,16,-32,2031,246,2060,210
47,2081,252,64,16,2031,216,2060,190
47,2081,263,16,-16,2031,233,2060,202
47,2081,278,16,-32,2031,246,2060,210
48,2080,270,-16,-16,2030,431,2060,303
48,2080,274,48,0,2030,436,2061,383
48,2080,276,-80,32,2030,439,2061,384
48,2080,278,64,0,2031,348,2060,311
48,2080,285,0,-16,2031,354,2060,316
48,2080,288,48,-16,2031,361,2060,320
48,2081,401,-16,-32,2030,431,2060,303
48,2081,405,16,-16,2031,343,2061,383
48,2081,407,-80,32,2030,439,2061,384
48,2081,409,64,-32,2031,348,2060,311
48,2081,416,0,-32,2031,354,2060,316
48,2081,419,48,-16,2031,361,2060,320
49,2080,187,64,-32,2030,101,2060,273
49,2080,192,48,0,2030,104,2060,277
49,2081,64,64,-48,2030,101,2060,273
49,2081,68,48,-16,2030,104,2060,277
50,2080,250,16,-64,2031,363,2060,402
50,2080,257,48,0,2031,379,2060,413
50,2080,265,64,-16,2031,387,2060,422
50,2080,266,32,-16,2031,389,2060,424
50,2081,341,16,-80,2031,363,2060,402
50,2081,347,48,-16,2031,379,2060,413
50,2081,354,64,-16,2031,387,2060,422
50,2081,355,64,-16,2030,487,2060,424
51,2080,164,32,-32,2031,317,2060,264
51,2080,172,32,-48,2031,329,2060,276
51,2080,182,16,-48,2031,339,2060,292
51,2081,469,32,-32,2031,317,2060,264
51,2081,477,32,-32,2031,329,2060,276
52,2080,286,16,-32,2031,68,2060,102
52,2080,291,64,0,2030,248,2060,107
52,2080,294,32,-32,2030,250,2060,108
52,2080,304,48,0,2030,263,2060,118
52,2081,39,16,-16,2031,68,2060,102
52,2081,44,64,16,2030,248,2060,107
52,2081,47,32,-32,2030,250,2060,108
52,2081,56,48,-16,2030,263,2060,118
53,2080,285,80,16,2030,371,2060,202
53,2080,286,32,-48,2030,373,2060,203
53,2080,287,0,-32,2031,252,2060,205
53,2080,289,32,-16,2031,254,2060,207
53,2080,303,0,0,2030,394,2060,226
53,2081,172,80,0,2030,371,2060,202
53,2081,174,32,-32,2030,373,2060,203
53,2081,175,0,-48,2031,252,2060,205
53,2081,176,32,-32,2031,254,2060,207
53,2081,191,16,-16,2031,277,2060,226
54,2080,386,-160,-48,2030,177,2061,123
54,2080,389,64,0,2030,181,2060,239
54,2080,401,32,-32,2031,222,2061,139
54,2081,151,-160,-64,2030,177,2061,123
54,2081,154,64,-16,2030,181,2060,239
54,2081,166,32,-64,2031,222,2061,139
55,2080,304,64,16,2030,207,2060,161
55,2080,325,32,-32,2030,220,2060,177
55,2080,328,32,-16,2031,141,2060,181
55,2080,334,32,-16,2030,228,2060,187
55,2080,336,-16,-16,2031,148,2060,189
55,2080,341,16,0,2030,237,2060,199
55,2081,411,64,16,2030,207,2060,161
55,2081,432,32,-16,2030,220,2060,177
55,2081,435,32,0,2031,141,2060,181
55,2081,441,32,-32,2030,228,2060,187
55,2081,443,-16,-48,2031,148,2060,189
55,2081,449,32,-16,2031,157,2060,199
56,2080,341,32,-16,2031,156,2060,114
56,2080,342,48,-16,2030,499,2061,202
56,2080,346,48,-16,2031,160,2060,120
56,2080,347,-128,-64,2030,501,2060,121
56,2080,351,48,0,2031,168,2061,207
56,2080,355,80,0,2030,508,2060,123
56,2080,360,-96,-32,2031,178,2060,134
56,2080,372,48,0,2030,524,2060,142
56,2081,456,32,-16,2031,156,2060,114
56,2081,460,48,-16,2031,160,2060,120
56,2081,463,48,-16,2031,168,2061,207
56,2081,467,64,0,2031,172,2060,123
56,2081,473,-96,-32,2031,178,2060,134
56,2081,485,48,-16,2030,524,2060,142
57,2080,381,96,-16,2030,69,2060,167
57,2080,393,16,16,2030,86,2060,179
57,2080,397,0,0,2030,90,2060,183
57,2080,403,16,-32,2031,151,2060,192
57,2080,404,32,0,2030,102,2060,193
57,2081,324,96,-16,2030,69,2060,167
57,2081,337,48,0,2031,136,2060,179
57,2081,341,16,0,2031,140,2060,183
57,2081,346,16,-32,2031,151,2060,192
57,2081,347,16,0,2031,153,2060,193
58,2080,291,32,-16,2030,314,2060,120
58,2080,293,80,16,2031,155,2060,122
58,2081,47,32,-16,2030,314,2060,120
58,2081,49,80,0,2031,155,2060,122
58,2081,54,128,80,2031,159,2060,129
59,2080,199,80,-32,2031,158,2060,124
59,2080,205,48,0,2030,440,2060,137
59,2080,223,128,0,2030,453,2060,150
59,2081,325,80,-32,2031,158,2060,124
59,2081,332,48,32,2030,440,2060,137
59,2081,351,128,0,2030,453,2060,150
60,2080,282,48,-32,2030,87,2061,119
60,2080,297,16,-64,2030,100,2060,183
60,2080,299,80,0,2030,104,2060,184
60,2080,300,32,-32,2031,159,2060,186
60,2080,305,0,-32,2030,111,2061,130
60,2081,252,48,16,2030,87,2061,119
60,2081,266,16,-32,2030,100,2060,183
60,2081,267,96,-16,2031,157,2060,184
60,2081,268,32,-32,2031,159,2060,186
60,2081,273,0,-48,2030,111,2061,130
61,2080,299,96,0,2030,128,2060,331
61,2081,153,96,16,2030,128,2060,331
62,2080,275,112,0,2031,415,2060,372
62,2080,291,-64,-16,2031,432,2061,125
62,2080,292,96,-64,2030,467,2060,386
62,2081,178,112,0,2031,415,2060,372
62,2081,194,-64,-16,2031,432,2061,125
62,2081,195,96,-16,2030,467,2060,386
63,2080,422,32,-16,2030,43,2060,217
63,2080,441,48,-16,2030,68,2060,245
63,2081,293,32,-32,2030,43,2060,217
63,2081,313,48,-16,2030,68,2060,245
63,2081,316,112,0,2030,73,2060,251
64,2080,376,48,0,2030,100,2060,214
64,2080,383,0,-112,2031,183,2060,222
64,2080,392,32,0,2030,118,2061,320
64,2081,410,48,0,2030,100,2060,214
64,2081,417,0,-112,2031,183,2060,222
64,2081,426,32,0,2030,118,2061,320
65,2080,399,32,0,2030,430,2061,144
65,2080,401,144,96,2031,230,2061,146
65,2080,403,80,16,2031,239,2060,200
65,2080,405,16,-16,2030,441,2060,203
65,2080,412,64,-32,2030,446,2060,208
65,2080,414,80,0,2030,448,2060,210
65,2080,417,-64,48,2030,451,2060,214
65,2080,423,48,-16,2030,458,2060,219
65,2081,116,32,-16,2030,430,2061,144
65,2081,118,144,112,2031,230,2061,146
65,2081,119,80,0,2031,239,2060,200
65,2081,121,16,-16,2030,441,2060,203
65,2081,130,64,-16,2030,446,2060,208
65,2081,132,80,-16,2030,448,2060,210
65,2081,135,-64,32,2030,451,2060,214
65,2081,140,48,0,2030,458,2060,219
66,2080,166,112,0,2031,304,2060,262
66,2080,169,0,-64,2031,308,2060,265
66,2080,171,128,0,2031,313,2060,266
66,2080,173,32,-32,2031,316,2061,74
66,2080,175,64,-16,2031,320,2060,277
66,2081,339,112,0,2031,304,2060,262
66,2081,342,0,-112,2031,308,2060,265
66,2081,344,80,64,2030,380,2060,266
66,2081,346,32,-32,2031,316,2061,74
66,2081,348,64,-16,2031,320,2060,277
67,2080,157,32,-32,2031,280,2060,247
67,2080,169,64,-32,2030,521,2060,256
67,2080,172,32,0,2030,530,2060,260
67,2080,178,-96,-16,2030,540,2060,267
67,2080,187,96,32,2031,325,2060,275
67,2081,376,32,-32,2031,280,2060,247
67,2081,386,64,0,2030,521,2060,256
67,2081,388,32,-32,2030,530,2060,260
67,2081,394,-96,112,2030,540,2060,267
67,2081,404,96,32,2031,325,2060,275
68,2080,397,48,0,2031,319,2061,457
68,2080,405,16,-16,2031,340,2060,374
68,2081,144,48,-16,2031,319,2061,457
68,2081,153,16,-16,2031,340,2060,374
69,2080,462,0,-48,2030,115,2060,198
69,2080,474,48,0,2031,171,2060,209
69,2080,476,64,-16,2031,173,2060,212
69,2080,479,32,0,2030,137,2060,215
69,2080,482,16,-32,2031,185,2060,220
69,2080,487,64,-32,2031,190,2060,228
69,2080,488,64,0,2031,191,2060,229
69,2081,347,0,-48,2030,115,2060,198
69,2081,358,48,0,2031,171,2060,209
69,2081,360,64,0,2031,173,2060,212
69,2081,364,64,0,2031,177,2060,215
69,2081,367,16,-32,2031,185,2060,220
69,2081,373,64,-48,2031,190,2060,228
69,2081,374,64,0,2031,191,2060,229
70,2080,421,32,0,2030,140,2060,217
70,2080,435,112,32,2031,194,2061,308
70,2080,439,16,-16,2030,163,2060,242
70,2080,440,32,-32,2031,207,2061,319
70,2081,537,112,32,2031,194,2061,308
70,2081,541,16,0,2030,163,2060,242
70,2081,543,32,-32,2031,207,2061,319
71,2080,263,48,32,2031,406,2060,368
71,2080,276,48,64,2030,537,2060,379
71,2080,277,32,0,2031,423,2060,380
71,2080,281,48,0,2031,427,2060,382
71,2080,284,48,0,2031,429,2060,386
71,2081,119,48,16,2031,406,2060,368
71,2081,130,48,16,2030,537,2060,379
71,2081,131,32,-32,2031,423,2060,380
71,2081,135,48,-16,2031,427,2060,382
71,2081,137,48,-16,2031,429,2060,386
73,2080,340,32,-32,2031,126,2060,167
73,2080,342,64,-16,2030,52,2060,170
73,2080,355,64,16,2031,146,2060,192
73,2081,218,32,-32,2031,126,2060,167
73,2081,220,64,0,2030,52,2060,170
73,2081,234,64,0,2031,146,2060,192
74,2080,244,48,-32,2030,466,2060,362
74,2080,246,32,-48,2030,472,2060,366
74,2080,252,16,-32,2031,425,2060,372
74,2080,266,0,-16,2030,496,2060,387
74,2081,131,48,0,2030,466,2060,362
74,2081,133,32,-32,2030,472,2060,366
74,2081,138,16,-16,2031,425,2060,372
74,2081,151,0,-16,2030,496,2060,387
75,2080,319,32,-16,2030,5,2061,234
75,2080,331,16,-16,2031,48,2060,88
75,2080,348,48,-16,2031,62,2060,107
75,2081,162,32,-16,2030,5,2061,234
75,2081,174,16,-16,2031,48,2060,88
75,2081,191,48,-16,2031,62,2060,107
76,2080,472,0,0,2031,211,2060,252
76,2080,475,144,64,2031,217,2060,256
76,2080,483,112,32,2031,232,2061,366
76,2080,488,64,-160,2030,151,2060,270
76,2081,408,0,-32,2031,211,2060,252
76,2081,409,48,-16,2031,213,2060,253
76,2081,413,144,48,2031,217,2060,256
76,2081,418,32,-48,2030,140,2060,262
76,2081,422,112,16,2031,232,2061,366
76,2081,428,64,-160,2030,151,2060,270
77,2080,326,48,-32,2030,196,2060,271
77,2080,329,80,0,2031,229,2060,274
77,2080,346,48,0,2030,211,2061,486
77,2081,71,48,-32,2030,196,2060,271
77,2081,73,96,-16,2030,197,2060,274
77,2081,90,48,-16,2030,211,2061,486
78,2080,137,48,-48,2031,282,2060,243
78,2080,141,48,0,2030,367,2060,250
78,2080,157,16,-32,2030,379,2060,261
78,2080,164,32,0,2031,311,2060,266
78,2080,168,48,-64,2030,386,2060,268
78,2080,175,64,0,2030,391,2060,273
78,2081,4,48,-32,2031,282,2060,243
78,2081,7,48,-16,2030,367,2060,250
78,2081,22,16,-32,2030,379,2060,261
78,2081,29,32,0,2031,311,2060,266
78,2081,33,48,-64,2030,386,2060,268
78,2081,41,64,-32,2030,391,2060,273
79,2080,136,32,0,2031,218,2060,181
79,2080,140,32,-48,2031,222,2060,184
79,2080,167,64,0,2030,386,2061,277
79,2080,169,48,-32,2031,252,2060,213
79,2081,326,32,-32,2031,218,2060,181
